År,År-Månad,A5_id,A5_Id_Description,Befattningskod,BefattningskodText,Åldersgrupp,Antal anställningar,Sjukfrånvaro total %,Sjukfrånvaro total tim
2019,2019-MAY,16,Personalavdelning,1234,Mekaniker,30-39 år,16,6.55 %,189.1
2021,2021-OCT,9,Serviceförvaltningen,1234,Platschef,40-49 år,31,8.91 %,102.4
2021,2021-AUG,9,Serviceförvaltningen,7594,IT-specialist,40-49 år,12,4.67 %,138.9
2021,2021-APR,6,Personalavdelning,1234,Platschef,20-29 år,27,5.91 %,199.2
2020,2020-MAY,11,IT-avdelning,9012,Platschef,20-29 år,46,7.31 %,104.8
2021,2021-APR,1,Personalavdelning,7594,Mekaniker,30-39 år,33,6.37 %,112.5
2020,2020-DEC,4,IT-avdelning,7594,Administratör,50-59 år,24,6.22 %,144.0
2020,2020-DEC,13,Ekonomiavdelning,9012,Mekaniker,50-59 år,20,5.54 %,231.7
2021,2021-APR,13,Ekonomiavdelning,7594,Administratör,30-39 år,21,7.11 %,214.7
2020,2020-DEC,13,IT-avdelning,1234,IT-specialist,40-49 år,20,7.37 %,103.3
2021,2021-AUG,2,Personalavdelning,5678,Mekaniker,30-39 år,23,7.57 %,175.3
2021,2021-FEB,9,Ekonomiavdelning,9012,Mekaniker,30-39 år,12,3.49 %,141.2
2019,2019-JAN,8,Personalavdelning,1234,Anläggningsarbetare,40-49 år,42,7.42 %,197.3
2021,2021-MAR,7,Ekonomiavdelning,9012,Mekaniker,50-59 år,42,9.67 %,208.2
2019,2019-SEP,4,Personalavdelning,9012,Anläggningsarbetare,30-39 år,33,6.79 %,229.4
2021,2021-APR,18,Personalavdelning,7594,Administratör,50-59 år,45,8.01 %,171.3
2021,2021-OCT,3,Teknisk Förvaltning,7594,Administratör,30-39 år,40,6.9 %,249.2
2019,2019-MAY,6,IT-avdelning,1234,Administratör,40-49 år,30,8.98 %,247.0
2019,2019-FEB,12,Serviceförvaltningen,9012,Anläggningsarbetare,40-49 år,35,9.51 %,232.3
2021,2021-APR,12,IT-avdelning,7594,Administratör,20-29 år,48,4.29 %,186.2
2020,2020-FEB,8,Personalavdelning,7594,Platschef,40-49 år,16,6.06 %,159.7
2019,2019-FEB,1,Personalavdelning,9012,Mekaniker,20-29 år,21,5.75 %,154.7
2020,2020-APR,4,IT-avdelning,1234,Anläggningsarbetare,30-39 år,19,5.84 %,101.8
2020,2020-JUN,11,Personalavdelning,1234,Administratör,50-59 år,13,3.88 %,137.4
2020,2020-JUL,3,Ekonomiavdelning,9012,Platschef,40-49 år,43,8.7 %,207.8
2019,2019-OCT,13,Personalavdelning,1234,Mekaniker,40-49 år,46,3.25 %,190.5
2020,2020-MAR,17,IT-avdelning,7594,Mekaniker,40-49 år,16,6.7 %,237.5
2019,2019-MAR,10,IT-avdelning,9012,Administratör,30-39 år,36,7.63 %,107.5
2020,2020-OCT,12,IT-avdelning,7594,Platschef,20-29 år,29,4.45 %,123.3
2021,2021-JUN,15,Teknisk Förvaltning,5678,Anläggningsarbetare,30-39 år,43,9.34 %,218.4
2021,2021-DEC,10,Teknisk Förvaltning,5678,Administratör,50-59 år,22,8.87 %,153.8
2019,2019-MAR,14,Teknisk Förvaltning,1234,Mekaniker,30-39 år,19,6.3 %,117.8
2021,2021-FEB,13,Teknisk Förvaltning,5678,Mekaniker,50-59 år,36,5.88 %,249.5
2021,2021-AUG,5,Teknisk Förvaltning,7594,Mekaniker,40-49 år,10,4.66 %,218.1
2020,2020-MAY,6,Teknisk Förvaltning,5678,Administratör,50-59 år,48,8.11 %,161.3
2019,2019-JAN,2,Teknisk Förvaltning,7594,IT-specialist,50-59 år,47,3.92 %,223.5
2020,2020-MAR,17,IT-avdelning,1234,IT-specialist,20-29 år,39,7.76 %,202.1
2020,2020-OCT,4,Serviceförvaltningen,1234,IT-specialist,50-59 år,38,8.9 %,218.5
2020,2020-AUG,14,Teknisk Förvaltning,7594,Platschef,50-59 år,42,4.6 %,222.3
2020,2020-APR,10,IT-avdelning,5678,Administratör,30-39 år,9,9.06 %,112.7
2020,2020-JUL,3,Serviceförvaltningen,1234,Mekaniker,40-49 år,22,3.23 %,193.4
2020,2020-OCT,3,Teknisk Förvaltning,9012,Platschef,30-39 år,20,9.39 %,101.0
2020,2020-DEC,15,Serviceförvaltningen,1234,IT-specialist,30-39 år,12,3.83 %,106.5
2019,2019-FEB,6,Serviceförvaltningen,5678,Anläggningsarbetare,40-49 år,29,7.52 %,235.6
2021,2021-JUL,17,Ekonomiavdelning,9012,Platschef,40-49 år,36,4.75 %,179.1
2020,2020-MAY,12,Personalavdelning,5678,Platschef,50-59 år,30,8.86 %,210.4
2020,2020-MAY,11,Ekonomiavdelning,7594,Administratör,50-59 år,26,6.59 %,225.8
2020,2020-JUN,4,Serviceförvaltningen,9012,Platschef,20-29 år,35,3.95 %,242.4
2020,2020-SEP,6,IT-avdelning,5678,Administratör,30-39 år,47,7.0 %,230.4
2020,2020-JUN,1,Teknisk Förvaltning,9012,Anläggningsarbetare,40-49 år,14,5.86 %,172.5
2020,2020-DEC,16,Personalavdelning,5678,Mekaniker,50-59 år,16,7.63 %,150.4
2021,2021-AUG,15,Teknisk Förvaltning,9012,Mekaniker,40-49 år,32,9.17 %,123.2
2021,2021-JUL,17,IT-avdelning,5678,IT-specialist,50-59 år,10,5.87 %,160.0
2020,2020-SEP,8,Personalavdelning,7594,IT-specialist,20-29 år,24,5.03 %,155.0
2021,2021-APR,12,Ekonomiavdelning,9012,Anläggningsarbetare,20-29 år,9,3.1 %,183.9
2019,2019-FEB,10,Serviceförvaltningen,9012,Mekaniker,40-49 år,27,7.02 %,199.8
2020,2020-JUL,15,IT-avdelning,9012,IT-specialist,20-29 år,13,5.82 %,246.7
2019,2019-JUN,9,Serviceförvaltningen,9012,Platschef,40-49 år,33,5.62 %,209.3
2019,2019-JAN,2,Serviceförvaltningen,7594,Administratör,50-59 år,20,4.28 %,196.6
2020,2020-NOV,5,Teknisk Förvaltning,9012,IT-specialist,30-39 år,26,6.01 %,150.3
2021,2021-SEP,6,IT-avdelning,1234,Anläggningsarbetare,20-29 år,12,9.89 %,105.2
2019,2019-SEP,7,Serviceförvaltningen,7594,Mekaniker,50-59 år,24,5.08 %,143.2
2020,2020-DEC,1,Ekonomiavdelning,1234,Anläggningsarbetare,30-39 år,18,7.2 %,215.3
2019,2019-FEB,7,Personalavdelning,9012,Administratör,30-39 år,43,8.44 %,130.8
2019,2019-MAR,12,IT-avdelning,5678,Administratör,30-39 år,41,8.24 %,206.8
2019,2019-MAY,16,Teknisk Förvaltning,1234,Anläggningsarbetare,50-59 år,38,5.3 %,187.0
2019,2019-MAY,16,IT-avdelning,9012,IT-specialist,50-59 år,15,7.28 %,125.8
2021,2021-JAN,11,Teknisk Förvaltning,1234,IT-specialist,40-49 år,44,9.1 %,139.2
2019,2019-AUG,4,Personalavdelning,9012,Mekaniker,30-39 år,37,3.11 %,174.4
2019,2019-DEC,13,Ekonomiavdelning,9012,Mekaniker,30-39 år,35,6.05 %,162.8
2019,2019-AUG,7,Serviceförvaltningen,9012,Platschef,30-39 år,48,4.57 %,216.8
2021,2021-APR,4,IT-avdelning,5678,Platschef,40-49 år,38,5.72 %,210.2
2019,2019-JUL,15,Teknisk Förvaltning,1234,Mekaniker,30-39 år,11,5.91 %,186.2
2019,2019-NOV,19,Personalavdelning,7594,Platschef,50-59 år,27,8.23 %,223.3
2021,2021-OCT,9,Serviceförvaltningen,7594,Anläggningsarbetare,30-39 år,11,3.66 %,184.4
2021,2021-MAR,11,Personalavdelning,7594,IT-specialist,20-29 år,29,6.59 %,244.7
2021,2021-JUN,8,Ekonomiavdelning,7594,Platschef,50-59 år,7,6.95 %,132.6
2019,2019-OCT,1,Serviceförvaltningen,9012,Platschef,40-49 år,42,6.46 %,207.1
2021,2021-OCT,8,Serviceförvaltningen,1234,Anläggningsarbetare,30-39 år,24,8.12 %,155.5
2021,2021-DEC,13,Serviceförvaltningen,1234,Administratör,20-29 år,38,5.69 %,141.8
2019,2019-SEP,4,Teknisk Förvaltning,5678,Mekaniker,40-49 år,48,9.61 %,127.1
2021,2021-JAN,8,Serviceförvaltningen,1234,Anläggningsarbetare,40-49 år,48,6.37 %,182.9
2019,2019-MAY,3,Personalavdelning,1234,Administratör,50-59 år,34,7.0 %,132.3
2020,2020-APR,9,Teknisk Förvaltning,1234,Anläggningsarbetare,40-49 år,21,8.78 %,130.1
2021,2021-AUG,2,Serviceförvaltningen,5678,IT-specialist,40-49 år,14,4.93 %,248.6
2020,2020-NOV,2,Personalavdelning,7594,Anläggningsarbetare,40-49 år,39,3.53 %,220.3
2019,2019-DEC,13,Personalavdelning,1234,Anläggningsarbetare,40-49 år,24,7.95 %,212.2
2021,2021-JAN,15,IT-avdelning,5678,IT-specialist,30-39 år,22,6.38 %,219.1
2019,2019-SEP,12,Personalavdelning,5678,Mekaniker,30-39 år,49,9.28 %,245.3
2020,2020-JUN,4,Ekonomiavdelning,9012,Administratör,30-39 år,48,9.88 %,186.0
2019,2019-APR,8,Serviceförvaltningen,5678,Platschef,30-39 år,31,5.79 %,133.0
2021,2021-DEC,9,Serviceförvaltningen,7594,Mekaniker,20-29 år,40,5.91 %,229.3
2021,2021-SEP,5,Serviceförvaltningen,1234,Anläggningsarbetare,30-39 år,27,5.86 %,211.4
2020,2020-NOV,18,Personalavdelning,5678,Platschef,40-49 år,36,5.27 %,162.1
2019,2019-MAY,11,Personalavdelning,7594,IT-specialist,30-39 år,14,8.47 %,171.0
2021,2021-MAY,15,Serviceförvaltningen,5678,Mekaniker,30-39 år,15,8.31 %,161.7
2020,2020-DEC,9,Teknisk Förvaltning,5678,Administratör,50-59 år,42,6.35 %,239.5
2021,2021-MAY,17,Teknisk Förvaltning,5678,Mekaniker,40-49 år,10,3.31 %,151.5
2021,2021-JAN,12,Ekonomiavdelning,5678,Mekaniker,30-39 år,45,5.17 %,244.5
2019,2019-JAN,7,IT-avdelning,5678,Platschef,30-39 år,38,5.05 %,236.5
2021,2021-AUG,10,Ekonomiavdelning,7594,IT-specialist,30-39 år,40,8.68 %,194.6
2019,2019-DEC,10,Serviceförvaltningen,1234,IT-specialist,20-29 år,41,3.61 %,187.0
2021,2021-AUG,13,Serviceförvaltningen,1234,Mekaniker,30-39 år,21,8.64 %,155.5
2020,2020-DEC,19,Serviceförvaltningen,1234,IT-specialist,50-59 år,44,7.68 %,102.8
2021,2021-JUN,11,IT-avdelning,1234,Platschef,40-49 år,44,8.13 %,119.1
2019,2019-DEC,13,Personalavdelning,7594,Platschef,40-49 år,16,6.03 %,213.1
2019,2019-NOV,8,IT-avdelning,9012,Administratör,30-39 år,25,7.76 %,170.7
2020,2020-APR,8,Ekonomiavdelning,9012,IT-specialist,30-39 år,44,7.26 %,122.5
2021,2021-FEB,4,Personalavdelning,7594,Administratör,30-39 år,23,8.38 %,139.6
2021,2021-FEB,15,Personalavdelning,7594,Anläggningsarbetare,40-49 år,7,6.13 %,242.2
2020,2020-SEP,11,Ekonomiavdelning,5678,Platschef,40-49 år,22,6.31 %,155.1
2021,2021-MAY,11,Personalavdelning,5678,Mekaniker,20-29 år,23,7.51 %,236.2
2021,2021-APR,1,Teknisk Förvaltning,5678,Platschef,50-59 år,10,3.76 %,145.7
2019,2019-OCT,17,Ekonomiavdelning,1234,Anläggningsarbetare,20-29 år,20,6.05 %,181.5
2021,2021-JAN,15,Ekonomiavdelning,5678,Mekaniker,50-59 år,12,9.8 %,103.1
2021,2021-JUL,6,Teknisk Förvaltning,9012,IT-specialist,20-29 år,22,3.26 %,178.3
2020,2020-MAR,15,IT-avdelning,1234,IT-specialist,40-49 år,47,5.21 %,195.5
2020,2020-JUN,9,IT-avdelning,5678,Platschef,20-29 år,43,5.2 %,135.1
2019,2019-MAY,14,IT-avdelning,1234,Mekaniker,50-59 år,16,7.43 %,186.8
2021,2021-MAY,18,Personalavdelning,9012,Mekaniker,30-39 år,49,3.74 %,197.1
2021,2021-NOV,17,Teknisk Förvaltning,5678,Administratör,50-59 år,14,7.4 %,203.0
2021,2021-MAY,18,Ekonomiavdelning,9012,Anläggningsarbetare,30-39 år,11,3.67 %,216.5
2019,2019-JAN,5,Ekonomiavdelning,9012,IT-specialist,40-49 år,5,3.66 %,146.7
2019,2019-JAN,9,Ekonomiavdelning,9012,Platschef,50-59 år,40,8.1 %,185.2
2020,2020-MAR,11,Personalavdelning,5678,Mekaniker,20-29 år,25,5.27 %,247.2
2019,2019-DEC,1,Personalavdelning,7594,IT-specialist,50-59 år,41,9.84 %,234.7
2021,2021-OCT,18,IT-avdelning,5678,Platschef,30-39 år,28,3.26 %,242.9
2021,2021-APR,6,Personalavdelning,9012,IT-specialist,40-49 år,29,6.12 %,157.9
2019,2019-MAY,2,IT-avdelning,5678,Platschef,20-29 år,11,3.79 %,218.0
2021,2021-FEB,15,IT-avdelning,9012,IT-specialist,50-59 år,46,5.46 %,193.0
2021,2021-AUG,14,Ekonomiavdelning,7594,Administratör,30-39 år,21,9.99 %,112.4
2019,2019-NOV,5,Personalavdelning,1234,Anläggningsarbetare,20-29 år,33,9.22 %,223.6
2019,2019-NOV,6,IT-avdelning,7594,IT-specialist,40-49 år,34,3.34 %,201.6
2021,2021-FEB,6,Teknisk Förvaltning,7594,Anläggningsarbetare,20-29 år,11,6.94 %,129.8
2021,2021-SEP,18,Teknisk Förvaltning,1234,IT-specialist,40-49 år,37,7.53 %,112.0
2021,2021-FEB,14,Personalavdelning,5678,Mekaniker,20-29 år,11,4.47 %,225.6
2020,2020-SEP,10,Ekonomiavdelning,1234,Administratör,50-59 år,28,4.02 %,111.8
2020,2020-JUL,14,Ekonomiavdelning,5678,Administratör,30-39 år,15,9.33 %,113.7
2020,2020-AUG,13,IT-avdelning,5678,Anläggningsarbetare,50-59 år,13,9.78 %,164.1
2019,2019-NOV,3,Personalavdelning,9012,Mekaniker,50-59 år,16,9.94 %,120.2
2020,2020-FEB,6,Teknisk Förvaltning,9012,Platschef,40-49 år,39,8.53 %,237.1
2019,2019-JUL,8,IT-avdelning,1234,Administratör,40-49 år,8,7.64 %,170.5
2019,2019-DEC,12,IT-avdelning,7594,Mekaniker,40-49 år,40,5.42 %,185.4
2020,2020-JUN,13,Serviceförvaltningen,1234,Mekaniker,50-59 år,32,4.2 %,239.2
2020,2020-APR,11,Personalavdelning,5678,Anläggningsarbetare,20-29 år,17,3.55 %,179.5
2020,2020-JUL,12,IT-avdelning,9012,Mekaniker,20-29 år,27,7.85 %,153.0
2021,2021-APR,1,Teknisk Förvaltning,1234,Mekaniker,50-59 år,23,8.49 %,219.6
2020,2020-FEB,17,Serviceförvaltningen,1234,Platschef,50-59 år,46,8.79 %,166.4
2021,2021-OCT,16,Teknisk Förvaltning,9012,Anläggningsarbetare,30-39 år,41,9.4 %,147.8
2019,2019-DEC,11,Ekonomiavdelning,9012,Anläggningsarbetare,40-49 år,43,9.16 %,208.5
2021,2021-JUL,13,Serviceförvaltningen,9012,Mekaniker,40-49 år,28,10.0 %,220.2
2020,2020-AUG,18,Serviceförvaltningen,5678,Platschef,50-59 år,20,4.71 %,218.8
2019,2019-FEB,11,IT-avdelning,9012,IT-specialist,50-59 år,37,8.34 %,246.7
2019,2019-MAY,12,Ekonomiavdelning,7594,Administratör,20-29 år,16,7.11 %,218.0
2019,2019-JAN,6,IT-avdelning,1234,Anläggningsarbetare,50-59 år,38,4.83 %,215.5
2021,2021-JUL,9,Personalavdelning,9012,Platschef,20-29 år,11,9.87 %,228.6
2020,2020-AUG,16,Teknisk Förvaltning,9012,Platschef,50-59 år,15,9.29 %,100.0
2019,2019-JUN,4,Teknisk Förvaltning,5678,Mekaniker,30-39 år,35,3.9 %,154.4
2019,2019-MAY,3,IT-avdelning,5678,Administratör,30-39 år,33,3.18 %,210.6
2019,2019-JUN,16,Teknisk Förvaltning,1234,Anläggningsarbetare,20-29 år,17,7.82 %,190.0
2021,2021-FEB,12,Teknisk Förvaltning,7594,IT-specialist,40-49 år,35,7.23 %,126.6
2021,2021-JAN,11,Personalavdelning,1234,Mekaniker,30-39 år,6,9.55 %,145.6
2020,2020-JUL,5,Ekonomiavdelning,9012,Anläggningsarbetare,20-29 år,43,4.64 %,150.5
2021,2021-JUL,18,Serviceförvaltningen,7594,Anläggningsarbetare,50-59 år,19,3.59 %,185.2
2019,2019-OCT,19,IT-avdelning,7594,Platschef,50-59 år,15,4.81 %,224.7
2020,2020-NOV,6,IT-avdelning,7594,Administratör,20-29 år,38,3.13 %,239.9
2019,2019-OCT,18,Personalavdelning,7594,IT-specialist,40-49 år,43,3.25 %,212.5
2019,2019-FEB,6,Personalavdelning,1234,Administratör,20-29 år,8,9.4 %,226.4
2021,2021-FEB,4,Serviceförvaltningen,5678,Platschef,20-29 år,15,5.46 %,170.5
2020,2020-JAN,12,Ekonomiavdelning,5678,IT-specialist,30-39 år,33,5.88 %,158.5
2021,2021-OCT,19,IT-avdelning,9012,IT-specialist,20-29 år,6,3.13 %,158.9
2021,2021-AUG,2,Personalavdelning,5678,Mekaniker,20-29 år,20,4.89 %,192.4
2020,2020-AUG,17,IT-avdelning,5678,IT-specialist,50-59 år,43,8.63 %,118.6
2019,2019-JAN,11,Teknisk Förvaltning,5678,Anläggningsarbetare,30-39 år,17,7.31 %,186.9
2019,2019-DEC,11,IT-avdelning,5678,Administratör,50-59 år,41,8.28 %,199.8
2020,2020-NOV,16,Ekonomiavdelning,9012,Administratör,50-59 år,21,6.13 %,165.8
2019,2019-AUG,2,Ekonomiavdelning,1234,Mekaniker,40-49 år,25,5.17 %,243.0
2020,2020-SEP,2,IT-avdelning,7594,IT-specialist,40-49 år,48,6.38 %,191.2
2020,2020-APR,8,Teknisk Förvaltning,5678,Platschef,30-39 år,23,5.26 %,133.0
2021,2021-JAN,13,Ekonomiavdelning,1234,Anläggningsarbetare,30-39 år,11,8.87 %,171.9
2020,2020-JAN,10,Personalavdelning,5678,Mekaniker,40-49 år,42,5.08 %,201.3
2021,2021-MAR,8,IT-avdelning,5678,IT-specialist,40-49 år,12,7.62 %,148.5
2019,2019-MAY,4,Teknisk Förvaltning,7594,Platschef,40-49 år,17,3.96 %,111.9
2019,2019-MAY,15,Personalavdelning,7594,IT-specialist,40-49 år,41,7.81 %,187.5
2019,2019-SEP,1,IT-avdelning,7594,Mekaniker,40-49 år,6,9.39 %,242.2
2019,2019-OCT,11,Teknisk Förvaltning,5678,Platschef,50-59 år,45,7.26 %,172.8
2021,2021-DEC,7,Personalavdelning,5678,Platschef,30-39 år,15,6.92 %,235.9
2019,2019-FEB,17,Ekonomiavdelning,5678,Platschef,50-59 år,28,9.73 %,225.3
2020,2020-FEB,18,IT-avdelning,7594,Platschef,50-59 år,10,7.39 %,122.1
2020,2020-JUN,12,IT-avdelning,9012,IT-specialist,20-29 år,30,4.82 %,206.2
2020,2020-SEP,9,Ekonomiavdelning,1234,Platschef,50-59 år,11,5.05 %,165.3
2021,2021-JAN,5,Serviceförvaltningen,9012,IT-specialist,40-49 år,43,7.94 %,137.5
2019,2019-SEP,10,Personalavdelning,5678,Platschef,40-49 år,23,8.15 %,203.0
2019,2019-SEP,4,Ekonomiavdelning,5678,Platschef,20-29 år,10,5.12 %,211.4
2019,2019-SEP,5,IT-avdelning,9012,Mekaniker,20-29 år,47,5.42 %,127.0
2021,2021-MAY,10,Personalavdelning,5678,IT-specialist,20-29 år,33,9.94 %,237.2
2020,2020-SEP,11,Personalavdelning,1234,IT-specialist,20-29 år,47,3.71 %,212.7
2020,2020-NOV,10,Serviceförvaltningen,5678,Administratör,20-29 år,43,5.83 %,240.0
2019,2019-APR,8,IT-avdelning,1234,Mekaniker,50-59 år,6,3.44 %,147.6
2020,2020-FEB,2,Teknisk Förvaltning,9012,IT-specialist,20-29 år,23,8.75 %,240.9
2020,2020-JUN,8,Serviceförvaltningen,9012,Mekaniker,50-59 år,8,3.65 %,155.3
2021,2021-APR,16,Serviceförvaltningen,5678,Mekaniker,30-39 år,10,7.72 %,108.1
2021,2021-JUN,5,Teknisk Förvaltning,1234,Mekaniker,20-29 år,41,3.4 %,214.4
2021,2021-MAR,3,Teknisk Förvaltning,5678,Anläggningsarbetare,20-29 år,32,7.71 %,205.5
2021,2021-JUN,12,Serviceförvaltningen,7594,IT-specialist,50-59 år,34,8.9 %,189.7
2019,2019-FEB,13,Personalavdelning,7594,Mekaniker,30-39 år,11,5.79 %,173.5
2021,2021-FEB,13,Ekonomiavdelning,7594,Anläggningsarbetare,50-59 år,13,6.65 %,104.8
2020,2020-SEP,10,Ekonomiavdelning,7594,Anläggningsarbetare,50-59 år,29,5.81 %,193.7
2019,2019-JUL,4,Serviceförvaltningen,5678,Platschef,20-29 år,37,5.1 %,162.5
2020,2020-MAR,9,Personalavdelning,7594,Platschef,40-49 år,5,8.62 %,184.0
2020,2020-NOV,2,Teknisk Förvaltning,1234,IT-specialist,40-49 år,10,4.9 %,164.4
2020,2020-JAN,19,Serviceförvaltningen,9012,Platschef,50-59 år,22,8.06 %,244.9
2021,2021-AUG,1,IT-avdelning,9012,IT-specialist,20-29 år,14,4.44 %,190.6
2021,2021-JUN,7,Personalavdelning,7594,Anläggningsarbetare,30-39 år,32,4.75 %,212.4
2019,2019-JUL,17,IT-avdelning,7594,Anläggningsarbetare,40-49 år,15,5.36 %,240.5
2019,2019-SEP,3,IT-avdelning,7594,IT-specialist,30-39 år,37,7.12 %,188.7
2021,2021-MAY,3,Serviceförvaltningen,5678,Platschef,40-49 år,5,6.18 %,101.8
2020,2020-JAN,3,Personalavdelning,9012,Platschef,20-29 år,17,8.22 %,105.1
2019,2019-DEC,17,IT-avdelning,7594,IT-specialist,50-59 år,41,4.49 %,205.4
2021,2021-OCT,7,Personalavdelning,1234,Administratör,30-39 år,24,3.07 %,141.9
2021,2021-JUL,14,Ekonomiavdelning,7594,Platschef,30-39 år,5,8.44 %,186.9
2021,2021-MAY,17,IT-avdelning,9012,Mekaniker,50-59 år,7,8.75 %,130.3
2020,2020-MAR,18,IT-avdelning,7594,Platschef,30-39 år,22,3.42 %,140.5
2021,2021-DEC,13,Personalavdelning,9012,Administratör,40-49 år,45,7.28 %,175.7
2021,2021-SEP,18,Ekonomiavdelning,7594,Anläggningsarbetare,50-59 år,18,5.65 %,246.3
2021,2021-JAN,4,IT-avdelning,1234,Anläggningsarbetare,40-49 år,35,8.56 %,192.4
2021,2021-JAN,1,Serviceförvaltningen,7594,Anläggningsarbetare,40-49 år,31,9.12 %,240.4
2019,2019-JAN,18,Personalavdelning,1234,Platschef,20-29 år,21,8.96 %,243.9
2019,2019-MAR,1,Personalavdelning,1234,Anläggningsarbetare,40-49 år,33,8.44 %,131.2
2021,2021-DEC,13,IT-avdelning,7594,Administratör,20-29 år,40,4.88 %,146.7
2020,2020-JUN,10,Ekonomiavdelning,1234,Administratör,30-39 år,41,8.68 %,215.5
2019,2019-OCT,11,IT-avdelning,5678,Platschef,30-39 år,30,6.73 %,230.0
2021,2021-NOV,9,Teknisk Förvaltning,7594,Mekaniker,20-29 år,21,3.37 %,177.9
2019,2019-MAR,9,IT-avdelning,7594,Platschef,40-49 år,26,6.2 %,249.0
2019,2019-AUG,5,Teknisk Förvaltning,1234,Anläggningsarbetare,50-59 år,29,9.6 %,101.7
2020,2020-OCT,1,Serviceförvaltningen,1234,Platschef,50-59 år,6,9.22 %,144.9
2021,2021-FEB,17,Personalavdelning,7594,Administratör,20-29 år,26,3.72 %,193.5
2021,2021-SEP,2,Personalavdelning,5678,Platschef,30-39 år,9,8.21 %,170.4
2020,2020-MAR,13,Ekonomiavdelning,1234,Platschef,30-39 år,8,8.64 %,117.5
2020,2020-MAY,9,IT-avdelning,1234,Mekaniker,50-59 år,40,4.9 %,155.2
2021,2021-OCT,4,Serviceförvaltningen,9012,Administratör,20-29 år,10,6.3 %,103.8
2021,2021-AUG,5,Teknisk Förvaltning,5678,IT-specialist,50-59 år,25,7.98 %,196.4
2020,2020-FEB,11,Ekonomiavdelning,5678,IT-specialist,40-49 år,17,6.07 %,233.9
2019,2019-JUN,19,Serviceförvaltningen,7594,Administratör,40-49 år,41,3.79 %,232.7
2019,2019-DEC,3,Serviceförvaltningen,5678,IT-specialist,20-29 år,29,7.94 %,204.9
2020,2020-MAY,12,Teknisk Förvaltning,7594,Anläggningsarbetare,20-29 år,30,9.38 %,169.9
2019,2019-OCT,19,Teknisk Förvaltning,9012,IT-specialist,40-49 år,43,7.57 %,176.8
2020,2020-SEP,19,Personalavdelning,5678,Anläggningsarbetare,30-39 år,24,8.42 %,120.5
2019,2019-DEC,13,IT-avdelning,1234,Administratör,20-29 år,37,5.51 %,151.2
2019,2019-MAY,7,Ekonomiavdelning,9012,IT-specialist,40-49 år,18,4.28 %,128.2
2021,2021-FEB,15,IT-avdelning,7594,IT-specialist,40-49 år,40,7.5 %,223.2
2021,2021-MAY,7,Ekonomiavdelning,9012,Anläggningsarbetare,30-39 år,21,5.29 %,237.2
